LEFT	NODE	RIGHT	GENRE	RELEVAN	STEM	AGENT_ENCODED	AGENT_PHRASE_TYPE	AGENT_ANIMACY	AGENT_CATEGORY	INTERCEPTION_BEFORE_AGENT
getahui bagaimana sebuah spasial terkonstruksi dan	digunakan	oleh anak untuk bermain dan bagaimana rangsangan	Disertasi_Tesis_Skripsi	TRUE	guna-kan	TRUE	oleh_phrase	animate	person	FALSE
eri pembelajaran yang	dituangkan	dalam perangkat pembelajaran adalah usaha dan ene	Disertasi_Tesis_Skripsi	TRUE	tuang-kan	FALSE				
t religi atau doa, seakan mengawali tidur. Hal ini	diperkuat	penemuan Ramachardan (1995) bahwa didalam tempora	Disertasi_Tesis_Skripsi	TRUE	per-kuat	TRUE	np	inanimate	abstraction	FALSE
ntarkelompok mahasiswa di Kampus Perak tidak hanya	dilakukan	oleh masyarakat Sultra yang berdomisili di Sultra	Disertasi_Tesis_Skripsi	TRUE	laku-kan	TRUE	oleh_phrase	animate	person	FALSE
isis data percobaan	dilakukan	berdasarkan pada perhitungan analisis ragam RAL p	Disertasi_Tesis_Skripsi	TRUE	laku-kan	FALSE				
atalog ditulis oleh Ekadjati dan kawan-kawan, yang	diterbitkan	tahun 1988. Penelitian ini merupakan hasil kerja	Disertasi_Tesis_Skripsi	TRUE	terbit-kan	FALSE				
n integratif dilakukan dengan menggunakan beberapa	disiplin	ilmu. Science,Technology, Engeneering and Mathema	Disertasi_Tesis_Skripsi	FALSE						
elah desain survei selesai ditentukan, selanjutnya	dilakukan	survei lokasi pengambilan data mikrotremor. Surve	Disertasi_Tesis_Skripsi	TRUE	laku-kan	FALSE				
ng guru, namun Eva melawan guru tersebut pada saat	ditegur	. Akibatnya, Eva mendapat tamparan dari guru. Peri	Disertasi_Tesis_Skripsi	TRUE	tegur	FALSE				
ttest (setelah	diberikan	perlakuan) dengan menggunakan uji Independent Sam	Disertasi_Tesis_Skripsi	TRUE	beri-kan	FALSE				
bak itu lalu membukakan matanya. Maka dilihatnya /	dirinya	itu terlayang-layang hampir jatuh ke pusat laut,	Disertasi_Tesis_Skripsi	FALSE						
Masyarakat) di KPH Sukabumi secara umum baru mulai	dilakukan	pada tahun 2001 dan aktif disosialisasikan pada t	Disertasi_Tesis_Skripsi	TRUE	laku-kan	FALSE				
an dua alasan, pertama kata back button tidak bisa	disisipi	kata apapun. Kedua, makna dari kata ini merupakan	Disertasi_Tesis_Skripsi	TRUE	sisip-i	FALSE				
lui cara ini, partisipasi langsung dari masyarakat	diharapkan	meningkat karena mereka merasa sampahpun bisa men	Disertasi_Tesis_Skripsi	TRUE	harap-kan	FALSE				
lihat risiko yang ditimbulkan dianggap lebih kecil	dibandingkan	potensi keuntungan yang bisa didapatkan. Disampin	Disertasi_Tesis_Skripsi	TRUE	banding-kan	FALSE				
pura. Setelah Dewabrata memenangkan sayembara yang	diadakan	oleh Raja Bismaka, ia membawa pulang ketiga orang	Disertasi_Tesis_Skripsi	TRUE	ada-kan	TRUE	oleh_phrase	animate	person	FALSE
telah memiliki niatan menjual segala kekayaan yang	dimiliki	keluarga Ralla, ingin mencoba mengembalikannya. I	Disertasi_Tesis_Skripsi	TRUE	milik-i	TRUE	np	animate	person	FALSE
n uang secara sembunyi dari Bapak/Ibu sosial, juga	dipraktekkan	di berbagai fakultas di kampus Perak. Di FISIP Ka	Disertasi_Tesis_Skripsi	TRUE	praktek-kan	FALSE				
n dapat dihindari. Pada skripsi ini perubahan yang	dimungkinkan	terjadi adalah perubahan pada konstan sisi kanan	Disertasi_Tesis_Skripsi	TRUE	mungkin-kan	FALSE				
u 200 C. Pada percobaan ini gemuk bio kalsium akan	ditingkatkan	dropping point nya dengan menggunakan agen pengko	Disertasi_Tesis_Skripsi	TRUE	tingkat-kan	FALSE				
eda dengan pendekatan utama di lapangan yang telah	dikembangkan	oleh Baker et al. (2008), dan diilhami oleh Pende	Disertasi_Tesis_Skripsi	TRUE	kembang-kan	TRUE	oleh_phrase	animate	person	FALSE
018: 326-327). Bagi individu yang telah dinyatakan	dipilih	harus melalui banyak tahap dan ritual untuk menja	Disertasi_Tesis_Skripsi	TRUE	pilih	FALSE				
nusia. Hidup, perasaan dan sifat telah masuk dalam	dialektika	antara sedikit dan banyak itu. Pertanyaan yang mu	Disertasi_Tesis_Skripsi	FALSE						
ngapa hal itu bisa terjadi. Kemampuan generic yang	dikembangkan	dalam tahap ini adalah kemampuan konsistensi logi	Disertasi_Tesis_Skripsi	TRUE	kembang-kan	FALSE				
udaya paternalistik, loyalitas dan kepatuhan lebih	diberikan	kepada kaum elite bangsawan, pimpinan kelompok, d	Disertasi_Tesis_Skripsi	TRUE	beri-kan	FALSE				
ebagai manajer keuangan keluarga, barangkali perlu	dipertimbangkan	sebagai faktor pendorong. Apapun penyebab bunuh d	Jurnal	TRUE	per-timbang-kan	FALSE				
s nasional maupun daerah dan implementasinya harus	dilaksanakan	oleh suatu institusi yang kuat dan bersifat koord	Jurnal	TRUE	laksana-kan	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
as Sosial Kabupaten dikirim ke PSBR Naibonat untuk	diseleksi	. Kriteria umur yang harus dipenuhi yaitu dari 12	Jurnal	TRUE	seleksi	FALSE				
ner. Jumlah sampel yang digunakan dalam penelitian	dihitung	dengan menggunakan rumus jumlah sampel untuk esti	Jurnal	TRUE	hitung	FALSE				
wilayah Rumbai, Tapung dan Minas di Provinsi Riau,	ditemukan	faktor-faktor yang menghambat prioritas implement	Jurnal	TRUE	temu-kan	FALSE				
7%. Korelasi terbesar antara penguasaan konsep dan	disposisi	berpikir kritis terjadi pada label konsep radiasi	Jurnal	FALSE						
hwa mereka	dinilai	oleh orang lain karena mereka telah berusaha mema	Jurnal	TRUE	nilai	TRUE	oleh_phrase	animate	person	FALSE
ngatakan bahwa semakin tinggi slack resources yang	dimiliki	perusahaan, maka perusahaan memiliki kecenderunga	Jurnal	TRUE	milik-i	TRUE	np	inanimate	institution/organisation	FALSE
k di Indonesia dilaksanakan antara lain perkawinan	dilangsungkan	"mulai usia wanita 17 tahun ke atas; dan berdasar"	Jurnal	TRUE	langsung-kan	FALSE				
masyarakat untuk melakukan kegiatan-kegiatan yang	dipandang	strategis. Kegiatan yang apabila dilakukan dapat	Jurnal	TRUE	pandang	FALSE				
ukan di mulut, tenggorokan, usus, kulit, dan serin	dijumpai	di vagina pada perempuan. Infeksi terjadi akibat	Jurnal	TRUE	jumpa-i	FALSE				
an sehat, ato apapun. Jadinya ya kadang-kadang gue	diledekin	juga karena hal itu. Terus juga kan mereka punya	Jurnal	TRUE	ledek-in	FALSE				
ia (PBB 2003) karena besarnya dampak kerugian yang	ditimbulkan	, dan whistleblowing telah menjadi salah satu sum	Jurnal	TRUE	timbul-kan	FALSE				
Emas Semarang di tiga titik stasiun yang berbeda,	diketahui	bahwa kandungan logam Fedalam kolom air baik pada	Jurnal	TRUE	ke-tahu-i	FALSE				
e difusi agar yang telah dimodifikasi (C). Hal ini	dilakukan	untuk mencari metode yang paling efektif untuk sk	Jurnal	TRUE	laku-kan	FALSE				
kan bentuk krama dengan benar, maka orang itu akan	disebut	sebagai orang yang tidak bisa menggunakan bahasa	Jurnal	TRUE	sebut	FALSE				
araan yang tetap berbasis karitatif. Hal ini dapat	dilihat	dari motif pemberian bantuan kepada masyarakat. K	Jurnal	TRUE	lihat	FALSE				
an IV di puskesmas di Kabupaten Banjarnegara dapat	dilihat	pada Tabel 12.	Jurnal	TRUE	lihat	FALSE				
ik bahwa perlindungan atau bahkan konservasi hutan	diperlukan	. Namun, mereka menganggap bahwa hal paling pentin	Jurnal	TRUE	perlu-kan	FALSE				
uh lokasi pengamatan kecuali pada Astreopora tidak	dijumpai	di P. Cemara Kecil, P. Kembar, P. Menyawakan dan	Jurnal	TRUE	jumpa-i	FALSE				
guan terhadap kesehatan lebih menyeluruh dari yang	diperkirakan	sebelumnya, gangguan kesehatan yang serius ini da	Jurnal	TRUE	per-kira-kan	FALSE				
iasanya memiliki perasaan campur aduk ketika siswa	diminta	untuk memberikan kritik dan saran. Lagi pula, tid	Jurnal	TRUE	minta	FALSE				
perkumpulan sosial. Namun, sampai sejauh ini belum	dirumuskan	bentuk atau konsep atau konstruksi LKS secara rin	Jurnal	TRUE	rumus-kan	FALSE				
upa skala pengukuran karakter. Pengisian kuesioner	dilakukan	secara klasikal dengan dipandu peneliti. Kondisi	Jurnal	TRUE	laku-kan	FALSE				
gar perawat dapat bekerja dengan tubuh tegak, meja	dinding	selebar 30 cm dalam kamar mandi, atau toilet juga	Jurnal	FALSE						
karena melekat pada orang-orang yang disenangi dan	dikagumi	, dan dengan melaui salah atau proses yang di temp	Jurnal	TRUE	kagum-i	FALSE				
Lebih jauh	dijelaskan	Tita, selain upaya memberikan pengetahuan tentang	Jurnal	TRUE	jelas-kan	TRUE	np	animate	person	FALSE
rehabilitasi sosial dan instruktur. Pelaksanaannya	disesuaikan	dengan anggaran yang tersedia, karena anggaran pe	Jurnal	TRUE	sesuai-kan	FALSE				
eknologi	digital	, membuka online dengan menggunakan tanda tangan d	Jurnal	FALSE						
g sengaja	dibentuk	oleh masyarakat sebagai tempat melaksanakan aktiv	Jurnal	TRUE	bentuk	TRUE	oleh_phrase	animate	person	FALSE
belum pernah dilaksanakan. Dari diskusi yang telah	dilakukan	didapatkan tiga prioritas topik diklat untuk komp	Jurnal	TRUE	laku-kan	FALSE				
sca rehabilitasi sosial. Kunjungan ini tidak hanya	dilakukan	sekali tetapi bisa beberapa kali sesuai dengan pe	Jurnal	TRUE	laku-kan	FALSE				
smotik media akan menjadi beban bagi ikan sehingga	dibutuhkan	energi yang relatif besar untuk mempertahankan os	Jurnal	TRUE	butuh-kan	FALSE				
atan di lingkungan dinas pendidikan. Hal ini telah	dibuktikan	dengan tidak adanya implementasi dari pihak-pihak	Jurnal	TRUE	bukti-kan	FALSE				
a pada semester Ganjil 2012/2013. Pengumpulan data	dilakukan	dengan tes, sedang analisis data dengan uji beda	Jurnal	TRUE	laku-kan	FALSE				
Pengalaman yang	diceritakan	oleh BJ, menunjukkan mengenai belum terinstitusio	Jurnal	TRUE	cerita-kan	TRUE	oleh_phrase	animate	person	FALSE
ganggunan binatang buas. Selain itu rumah tinggal	dimaksud	setelah adanya kebijakan pembangunan perumahan su	Jurnal	TRUE	maksud	FALSE				
nya. Kebebasan berpendapat melalui konten vlog ini	dianggap	sesuai dengan tujuan awal didirikannya Youtube, y	Jurnal	TRUE	anggap	FALSE				
encer [23]. Dua dari karakteristik kompetensi yang	disampaikan	yakni: Pengetahuan, informasi yang dimiliki seseo	Jurnal	TRUE	sampai-kan	FALSE				
ergantung pada situasi dan bentuk pertolongan yang	dibutuhkan	.	Jurnal	TRUE	butuh-kan	FALSE				
itemukan efek toksisitas pada tikus sehingga perlu	dipertimbangkan	sebagai penggunaan terapeutik dalam bidang farmas	Jurnal	TRUE	per-timbang-kan	FALSE				
perbedaan penguasaan konsep IPA antara siswa yang	dibelajarkan	model pembelajaran group investigation melalui le	Jurnal	TRUE	belajar-kan	FALSE				
kemiskinan, serta nilai-nilai kepatuhan yang harus	dilakukan	oleh anak-anak terhadap orangtua sebagai balas ja	Jurnal	TRUE	laku-kan	TRUE	oleh_phrase	animate	person	FALSE
nal daerah perdalaman Supiori. Di perdesaan, rumah	dibangun	langsung di atas pondasi tanpa panggung. Di perka	Jurnal	TRUE	bangun	FALSE				
sanya 40% dijelaskan oleh variabel lain yang tidak	dicantumkan	dalam model.	Jurnal	TRUE	cantum-kan	FALSE				
014:114) bahwa tanggung jawab adalah karakter yang	dimiliki	oleh seseorang untuk melaksanakan tugas dan kewaj	Jurnal	TRUE	milik-i	TRUE	oleh_phrase	animate	person	FALSE
nyak 20 ekor tikus jantan Galur Wistar (170-240 g)	diberikan	ekstrak etanol Garcinia kola secara oral dengan d	Jurnal	TRUE	beri-kan	FALSE				
g berfokus pada masalah adalah suatu tindakan yang	diarahkan	pada pemecahan masalah. Individu akan cenderung m	Jurnal	TRUE	arah-kan	FALSE				
han lamun sangat	dipengaruhi	penetrasi cahaya matahari, karena cahaya tersebut	Jurnal	TRUE	pengaruh-i	TRUE	np	inanimate	abstraction	FALSE
gsi kehilangan	distribusi	(loss function distribution) diberikan persamaan	Jurnal	FALSE						
dari ODC Telkom ke Gedung PT. Propan Raya ICC yang	dijanjikan	kedua paket tersebut aktif per tanggal 16 Mei 201	Koran	TRUE	janji-kan	FALSE				
kepolisian atau kejaksaan dan KPK, penyidikan yang	dilakukan	oleh kepolisian atau kejaksaan tersebut segera di	Koran	TRUE	laku-kan	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
yati mengingatkan bahwa	dirinya	saat ini berdiri di tengah konflik, lantaran stat	Koran	FALSE						
Batavia	diputus	pailit setelah Pengadilan Niaga Jakarta Pusat men	Koran	TRUE	putus	FALSE				
at yang gampang beterbangan jika jalanan tanah ini	dilalui	kendaraan bermotor. Namun, saya sangat menikmati	Koran	TRUE	lalu-i	TRUE	np	inanimate	technology	FALSE
awan Duesseldorf, Bayern Muenchen masih tidak bisa	diperkuat	Philippe Coutinho, Niklas Sule, Corentin Tolisso,	Koran	TRUE	per-kuat	TRUE	np	animate	person	FALSE
salah maka kegagalan anak ada lah utang yang harus	dibayar	oleh dunia (sistem) pendidikan, bukan sebaliknya.	Koran	TRUE	bayar	TRUE	oleh_phrase	inanimate	abstraction	FALSE
sering tidak hadir atau pulang sebelum persidangan	dimulai	.	Koran	TRUE	mula-i	FALSE				
g bagaimana kita memanfaatkan setiap momentum yang	disediakan	Allah dalam bulan Ramadhan. Namun, apabila kita k	Koran	TRUE	sedia-kan	TRUE	np	inanimate	abstraction	FALSE
lanjutnya, ditatah sesuai dengan gambar yang telah	dibuatnya	". """"Untuk membuat wayang karton, maksimal saya buat"	Koran	TRUE	buat	TRUE	pron-klitik-nya			
atan olahraga, dalam prakteknya sekarang, semuanya	diurusi	orang tua--dan ribut melulu. Kalau menterinya mas	Koran	TRUE	urus-i	TRUE	np	animate	person	FALSE
mo buruh itu masih murni menyalurkan pendapat yang	dijamin	haknya dalam konstitusi? Bukankah setiap hari ber	Koran	TRUE	jamin	FALSE				
Guru Swasta Perlu	Dilibatkan	~	Koran	TRUE	libat-kan	FALSE				
mencapai Rp 6,32 triliun atau naik 65 persen lebih	dibanding	periode yang sama tahun lalu.	Koran	TRUE	banding	FALSE				
en mengalami cedera parah sehingga mereka tak bisa	diobati	.	Koran	TRUE	obat-i	FALSE				
ebagai puluhan ribu lini bisnis yang berlainan dan	dipersatukan	hanya karena mereka kebetulan berada dalam batas-	Koran	TRUE	per-satu-kan	FALSE				
sipol UGM yang	disebut	Agni mengaku menjadi korban pelecehan seksual ole	Koran	TRUE	sebut	TRUE	np	animate	person	FALSE
ntikorupsi. Partai-partai, misalnya, seperti kerap	disampaikan	oleh Busyro, harus mencegah munculnya biaya polit	Koran	TRUE	sampai-kan	TRUE	oleh_phrase	animate	person	FALSE
adasi MUI dinilai menggunakan alasan yang terkesan	dipaksakan	dan mengada-ada.	Koran	TRUE	paksa-kan	FALSE				
i tanggal 19 Juni 2014 dan di hari yang sama telah	diproses	cetak kartu. Tanggal 21 Juni saya telepon Mandiri	Koran	TRUE	proses	FALSE				
ng diberangkatkan tidak sesuai nomor antrean serta	dinilai	memperkaya korporasi penyedia akomodasi di Arab S	Koran	TRUE	nilai	FALSE				
bagi kelompok pengusik. Polisi justru membubarkan	diskusi	.	Koran	FALSE						
dan mengembangkan areal irigasi. Jika langkah ini	diikuti	pula dengan keterpa duan pengelolaan sumber daya	Koran	TRUE	ikut-i	FALSE				
Masyarakat masih terbiasa membeli bebek hidup lalu	dipotong	di pasar.	Koran	TRUE	potong	FALSE				
n sempurna. Menurut konvensi, suatu struktur pasar	dinamakan	pasar yang kompetitif apabila dominasi dari empat	Koran	TRUE	nama-kan	FALSE				
kan bahwa sua minya dan banyak anggota keluarganya	dibunuh	oleh tentara Myanmar. Hatun mendesak agar keadila	Koran	TRUE	bunuh	TRUE	oleh_phrase	animate	person	FALSE
a pelahiran serta pengiprahan manusia di dalamnya,	diciptakan	dan dilaksanakan Allah bukanlah untuk sekadar per	Koran	TRUE	cipta-kan	TRUE	np	inanimate	abstraction	FALSE
elahirkan	diskusi	tentang cara-cara di mana manufaktur industri dap	Koran	FALSE						
g	diemban	oleh DMI dan pengurus masjid adalah dakwah. Bimbi	Koran	TRUE	emban	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
Tahun 2012, Indonesia	dinobatkan	sebagai penyelenggara haji terbaik di dunia oleh lembaga riset perhajian swasta	Koran	TRUE	nobat-kan	TRUE	oleh_phrase	inanimate	institution/organisation	TRUE
Secara luas	dikenal	sebagai obat kulit yang terbakar, lidah buaya jug	Koran	TRUE	kenal	FALSE				
sebanyak 88 persen responden mengaku setuju. Saat	ditanya	soal perempuan yang berkarir menjadi anggota DPR/	Koran	TRUE	tanya	FALSE				
en cananya adalah nilai moral Pancasila akan lebih	ditekankan	pada jenjang pendidikan SD hingga kelas 8 SMP. Se	Koran	TRUE	tekan-kan	FALSE				
k, menjaga pola makan dan berat badan ideal, serta	diagnosis	tekanan darah berkala dan melakukan medical check	Koran	FALSE						
pada masa lalu pernah	dituding	menyediakan dukungan tingkat rendah terhadap pemb	Koran	TRUE	tuding	FALSE				
ketua umum DPP PKB. Dengan begitu, dia layak untuk	diajukan	sebagai cawapres pada percaturan politik kali ini	Koran	TRUE	aju-kan	FALSE				
indaian berkala. Individu yang terdeteksi kemudian	ditangani	agar tidak berkembang menjadi percobaan bunuh dir	Koran	TRUE	tangan-i	FALSE				
t dikendalikan lagi'. Saat itu kami meminta supaya	dinyatakan	"keadaan darurat,"""" tutur Haryadi di Hotel Intercon"	Koran	TRUE	nyata-kan	FALSE				
u, kini tinggal kami bawa ke presiden karena sudah	diparaf	Menko Kesra, Menpora, Menkeu, dan LKPP, sehingga	Koran	TRUE	paraf	TRUE	np	animate	person	FALSE
lawan City di babak semifinal. Juventus yang kini	diperkuat	Cristiano Ronaldo memang sangat berambisi untuk m	Koran	TRUE	per-kuat	TRUE	np	animate	person	FALSE
un, penelitian juga menunjukkan bahwa kalsium yang	diperoleh	dari suplemen, tidak efektif untuk memperkuat tul	Koran	TRUE	per-oleh	FALSE				
lukai 6.000 orang. Otoritas menyatakan ledakan itu	disebabkan	oleh 2.750 ton amonium nitrat yang disimpan di gu	Koran	TRUE	sebab-kan	TRUE	oleh_phrase	inanimate	object	FALSE
hidup selama di dalam LP sebesar Rp 14 ribu sehari	dibebankan	kepada si penunggak pajak.	Koran	TRUE	beban-kan	FALSE				
ur sanksi pencabutan hak kewarganegaraan. Kalaupun	digugat	di pengadilan, Jimly meminta pemerintah untuk tid	Koran	TRUE	gugat	FALSE				
ia PR sangat dekat dengan AS dan sekutunya. Justru	dicemaskan	bila Anwar Ibrahim menang, akan membuka secara re	Koran	TRUE	cemas-kan	FALSE				
buat semuanya, sehingga kedatangan Ramadhan selalu	dinanti	. Seolah lahir energi baru yang sangat berguna dal	Koran	TRUE	nanti	FALSE				
erti lingkaran, kota, silang, garis dan titik yang	dikombinasikan	dengan beragam cara.	Koran	TRUE	kombinasi-kan	FALSE				
hen- tikan dan memberikan sanksi peringat an harus	dijadikan	KPU untuk melakukan perbaikan. Sekaligus men jadi	Koran	TRUE	jadi-kan	TRUE	np	inanimate	institution/organisation	FALSE
Conte tahun lalu juga	disebut-sebut	ingin meninggalkan Juventus karena mendapat tawaran bagus	Koran	TRUE	sebut	FALSE				
alia dan	ditahan	Genoa 1-1, Juventus bangkit dengan mengalahkan Ch	Koran	TRUE	tahan	TRUE	np	inanimate	institution/organisation	FALSE
elah dihasilkan beberapa alternatif resolusi untuk	disahkan	pada sesi terakhir. Sesi keenam ini sekaligus men	Laman_Resmi	TRUE	sah-kan	FALSE				
hukum dan menyiapkan perjanjian kerjasama. Hal ini	dimaksudkan	sebagai langkah persiapan sebelum nantinya PLN ak	Laman_Resmi	TRUE	maksud-kan	FALSE				
grasi guna mendukung perakitan kendaraan yang akan	diproduksi	.	Laman_Resmi	TRUE	produksi	FALSE				
kat. Oleh karena itu, lanjut Didin, berbagai upaya	dilakukan	Baznas dalam menyerap potensi zakat serta mengelo	Laman_Resmi	TRUE	laku-kan	TRUE	np	inanimate	institution/organisation	FALSE
n sebagai informan. Berdasarkan kriteria tersebut,	dipilih	dua orang informan, yaitu Pak Dagi dan Bu Listian	Laman_Resmi	TRUE	pilih	FALSE				
lain yang tengah	diupayakan	oleh Kemenag dalam rangka penyelenggaraan ibadah	Laman_Resmi	TRUE	upaya-kan	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
ama, menemukenali apa saja hal-hal yang selama ini	dianggap	"telah memuaskan jemaah haji Indonesia. """"Ini penti"	Laman_Resmi	TRUE	anggap	FALSE				
Program ini	ditujukan	bagi mahasiswa S1 ITB yang telah menyelesaikan du	Laman_Resmi	TRUE	tuju-kan	FALSE				
rkan terima kasih atas amanah dan kepercayaan yang	diberikan	oleh Puspresnas Kemendikbud RI dan ITB mendukung	Laman_Resmi	TRUE	beri-kan	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
~	Dipublikasikan	Pada : Kamis, 11 Juli 2019 00:00:00, Dibaca : 44.	Laman_Resmi	TRUE	publikasi-kan	FALSE				
ksanakan oleh FSRD ITB, setelah pasar Seni pertama	dilaksanakan	pada tahun 1972. Hal yang hendak disampaikan pada	Laman_Resmi	TRUE	laksana-kan	FALSE				
"Investasi Pemerintah (PIP), Djoko Hendratto; serta"	Director	Corporate Affairs GO-JEK, Nila Marita.	Laman_Resmi	FALSE						
"dan Penunjuk Arah Kiblat bagi Tunanetra"""". Tim ini"	digawangi	Muhammad Faqih Firman dan Fitriya Muthoharoh.	Laman_Resmi	TRUE	gawang-i	TRUE	np	animate	person	FALSE
"AKON VIRTUAL TAHUN 2020 """"NASKAH LAKON DALAM MEDIUM"	DIGITAL		Laman_Resmi	FALSE						
% untuk konsumsi LPG Non-PSO. Kenaikan LPG Non-PSO	dikarenakan	musim liburan dimana kebutuhan hotel dan restoran	Laman_Resmi	TRUE	karena-kan	TRUE	np	inanimate	weather	FALSE
ber daya manusia (SDM) perkelapasawitan harus pula	dijalankan	, khususnya pendidikan vokasi untuk membentuk SDM	Laman_Resmi	TRUE	jalan-kan	FALSE				
semuanya untuk dapat mengimplementasikan apa yang	diamanahkan	dalam perundang-undangan tersebut. Dengan demikia	Laman_Resmi	TRUE	amanah-kan	FALSE				
tuk energi biomass. Saya ingin Indragiri Hulu bisa	dijadikan	sebagai percontohan pengguna Energi Baru Terbaruk	Laman_Resmi	TRUE	jadi-kan	FALSE				
~	Dikatakan	, penetapan kinerja/kontrak kinerja/perjanjian kin	Laman_Resmi	TRUE	kata-kan	FALSE				
ota BBM PSO, termasuk tambahan 1,23 juta kiloliter	dipastikan	akan mencukupi untuk memenuhi kebutuhan masyaraka	Laman_Resmi	TRUE	pasti-kan	FALSE				
meningkatkan fasilitas di RSUD Oksibil, didampingi	Direktur	RSUD mereka beraudiensi dengan Kepala Dinas Keseh	Laman_Resmi	FALSE						
is yang perlu	dilakukan	dalam menunjang hal tersebut, di antaranya adalah	Laman_Resmi	TRUE	laku-kan	FALSE				
litas produk,	distribusi	yang merata di seluruh indonesia dan pelayanan pr	Laman_Resmi	FALSE						
"Senin (12/06). """"Kendaraan dinas operasional hanya"	digunakan	untuk kepentingan dinas yang menunjang tugas poko	Laman_Resmi	TRUE	guna-kan	FALSE				
Program	digitalisasi	penyiaran sendiri merupakan salah satu poin krusi	Laman_Resmi	FALSE						
ceh Tengah. Panitia juga melaksanakan penyemprotan	disinfektan	sebelum wisuda digelar.	Laman_Resmi	FALSE						
epat, akurat, teratur dan berkelanjutan yang dapat	digunakan	untuk perencanaan, penentuan kebijakan dan monito	Laman_Resmi	TRUE	guna-kan	FALSE				
~	Dipublikasikan	Pada : Senin, 20 Mei 2019 00:00:00, Dibaca : 8.40	Laman_Resmi	TRUE	publikasi-kan	FALSE				
Jalan e-commerce juga	diharapkan	mampu mengakselerasi pertumbuhan ekonomi nasional	Laman_Resmi	TRUE	harap-kan	FALSE				
sofi,perlu kerjasama, karena kontraknya dulu sudah	diteken	dan kontraknya kuat. Disitu ada kontrak disitu ki	Laman_Resmi	TRUE	teken	FALSE				
balai pendidikan dan pelatihan (diklat) yang telah	disediakan	"oleh Kemenperin,"""" paparnya"	Laman_Resmi	TRUE	sedia-kan	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
gkatan kualitas pelayanan publik harus benar-benar	dirasakan	manfaatnya oleh masyarakat. Sejauh ini, Pemkab Sr	Laman_Resmi	TRUE	rasa-kan	TRUE	oleh_phrase	animate	person	TRUE
a tenaga administrasi. Akselerasi kualitas ASN itu	dimaksudkan	untuk mengantisipasi dinamika kebangsaan yang sem	Laman_Resmi	TRUE	maksud-kan	FALSE				
ustus 2017 di pemondokan Makkah karena circulatory	diseases	pada usia 77 tahun.	Laman_Resmi	FALSE						
rian Energi dan Sumber Daya Mineral (ESDM) melalui	Direktorat	Jenderal Energi Baru, Terbarukan dan Konservasi E	Laman_Resmi	FALSE						
ker itu tidak enak karena tertutup, saya minta PMI	disiplin	mengikuti aturan/himbauan yang dilakukan negara s	Laman_Resmi	FALSE						
JALUR GANDA JUGA SEGERA	DIBANGUN	PADA LINTAS SELATAN JAWA	Laman_Resmi	TRUE	bangun	FALSE				
III. Anda akan	dikeluarkan	dari ruang isolasi jika pemeriksaan sampel 2 (dua	Laman_Resmi	TRUE	keluar-kan	FALSE				
naga yang memang sudah tidak layak dijual ataupun	dikonsumsi	. Akibat berita itu muncul kekhawatiran dalam bena	Laman_Resmi	TRUE	konsumsi	FALSE				
en petugas kesehatan haji. Tahapan rekrutmen sudah	dimulai	sejak bulan Desember 2019 dan saat ini tengah mel	Laman_Resmi	TRUE	mula-i	FALSE				
~	Dipublikasikan	Pada : Rabu, 02 Agustus 2017 00:00:00, Dibaca : 6	Laman_Resmi	TRUE	publikasi-kan	FALSE				
lon mahasiswa jenjang Diploma. Pendaftaran seleksi	Diploma	dibuka mulai 17 Maret hingga 21 Juni 2014, dan se	Laman_Resmi	FALSE						
a, dan Banyuwangi, serta MPP Kota Batam yang belum	diresmikan	.  Pemerintah mentargetkan pembangunan MPP di selu	Laman_Resmi	TRUE	resmi-kan	FALSE				
Tesis (UT) dapat	dilakukan	secara daring atau dilakukan secara tatap muka te	Laman_Resmi	TRUE	laku-kan	FALSE				
engan penjualan lebih dari 60 hektare. Setelahnya,	disusul	Greenland International Industrial Centre yang me	Laman_Resmi	TRUE	susul	TRUE	np	inanimate	institution/organisation	FALSE
~	Dipublikasikan	Pada : Minggu, 22 September 2013 00:00:01, Dibaca	Laman_Resmi	TRUE	publikasi-kan	FALSE				
Kegiatan yang	diselenggarakan	Inspektorat Jenderal Kemendikbud ini melibatkan 3	Laman_Resmi	TRUE	selenggara-kan	TRUE	np	inanimate	institution/organisation	FALSE
Sektor Sanitasi Secara Holistik. Sub-tema tersebut	diharapkan	dapat memperkuat tema besar CSS yang dilakukan se	Laman_Resmi	TRUE	harap-kan	FALSE				
abatan strategis salah satu langkah strategis yang	dilakukan	oleh Pemerintah adalah menyediakan data-data atau	Laman_Resmi	TRUE	laku-kan	TRUE	oleh_phrase	inanimate	institution/organisation	FALSE
alat komunikasi, sedangkan di sekolah, bahasa juga	diperkenalkan	sebagai ilmu.	Laman_Resmi	TRUE	per-kenal-kan	FALSE				
Bowo mengaku, misalnya, menerima duit dari seorang	direktur	utama salah satu badan usaha milik negara. Bos pe	Majalah	FALSE						
